name;category;scorpan;coverage;producer;postproc;rounded;note;reference
Area_Solar_RadiationSpecialDays4hour_ArcGISPro.tif;basic;CR;dkminusbornholm;;Anders Bjørn Møller;TRUE;Three layers;
Convergence_Index.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Cos_Aspect_radians.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Cross.Sectional_Curvature.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
DHM2015_terraen_10m.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Flow_Accumulation.tif;basic;R;DK;;Anders Bjørn Møller;TRUE;;
Flow_Accumulation_ArcGISPro.tif;basic;R;DK;;Anders Bjørn Møller;TRUE;Dotted patterns in filled sinks;
Flow_Accumulation_ArcGISPro_Planchon_Darboux.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;Dotted patterns in filled sinks;
Flow_Accumulation_top.down.tif;basic;R;DK;;Anders Bjørn Møller;TRUE;Angular flow lines in filled sinks;
Flow_Direction_ArcGISPro.tif;basic;R;DK;;Anders Bjørn Møller;TRUE;Not useful;
Flow_Direction_ArcGISPro_Planchon_Darboux.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;Not useful;
Flow_Line_Curvature.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;Nearly no variation;
General_Curvature.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;Nearly no variation;
geology_1.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_10.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_11.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_2.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_3.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_4.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_5.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_6.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_7.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_8.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
geology_9.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
georeg_1.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
georeg_10.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
georeg_2.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
georeg_3.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
georeg_4.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
georeg_6.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
georeg_8.tif;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
IMK_drain_maybe.tif;basic;O;DK;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
IMK_drain_no.tif;basic;O;DK;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
IMK_drain_yes.tif;basic;O;DK;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
