in_stack;name;category;scorpan;coverage;producer;postproc;rounded;note;reference;anbm_use
1;bluespot_10m_mean;basic;R;DK;SCALGO;Anders Bjørn Møller;TRUE;Nas filled with max value rounded up;dhm2015;1
1;convergence_index;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;dhm2015;1
1;cos_aspect_radians;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;dhm2015;1
1;cross_sectional_curvature;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;dhm2015;1
1;dhm2015_terraen_10m;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;dhm2015;1
1;flooded_depth_10m_mean;basic;R;DK;SCALGO;Anders Bjørn Møller;TRUE;Nas filled with zero;dhm2015;1
1;flow_accumulation;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;dhm2015;1
1;geology_1;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_10;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_11;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_2;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_3;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_4;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_5;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_6;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_7;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_8;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;geology_9;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;GEUS;1
1;georeg_1;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;Mogens;1
1;georeg_10;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;Mogens;1
1;georeg_2;basic;P;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;Mogens;1
