in_stack;name;category;scorpan;coverage;producer;postproc;rounded;note;reference;anbm_use;desc_text;units
1;bluespot_10m_mean;basic;R;DK;SCALGO;Anders Bjørn Møller;TRUE;Nas filled with max value rounded up;dhm2015;0;The amount of rain  that can fall on the model before the cell is flooded;m
1;chelsa_bio01_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Annual mean temperature;Degrees Celsius
1;chelsa_bio02_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Annual mean diurnal range;Degrees Celsius
1;chelsa_bio03_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;"Downscaled from the original spatial resolution; small range of variation";Karger et al. (2017);0;Isothermality;Percent
1;chelsa_bio04_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Temperature seasonality;Degrees Celsius
1;chelsa_bio05_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Max temperature of the warmest month;Degrees Celsius
1;chelsa_bio06_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Min temperature of the warmest month;Degrees Celsius
1;chelsa_bio07_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Annual temperature range;Degrees Celsius
1;chelsa_bio08_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;"Downscaled from the original spatial resolution; abrupt patterns in some places";Karger et al. (2017);0;Mean temperature of the wettest quarter;Degrees Celsius
1;chelsa_bio09_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;"Downscaled from the original spatial resolution; abrupt patterns in some places";Karger et al. (2017);0;Mean temperature of the driest quarter;Degrees Celsius
1;chelsa_bio10_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Mean temperature of warmest quarter;Degrees Celsius
1;chelsa_bio11_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Mean temperature of coldest quarter;Degrees Celsius
1;chelsa_bio12_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);1;Annual precipitation;mm
1;chelsa_bio13_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Precipitation of wettest Month;mm
1;chelsa_bio14_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);0;Precipitation of driest Month;mm
1;chelsa_bio15_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);1;Precipitation seasonality;Percent
1;chelsa_bio16_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);1;Precipitation of wettest quarter;mm
1;chelsa_bio17_1981_2010_10m;basic;C;DK;CHELSA (Karger et al., 2021);Sebastian Gutierez;TRUE;Downscaled from the original spatial resolution;Karger et al. (2017);1;Precipitation of driest quarter;mm
