covariate;use
bluespot_10m_mean;1
convergence_index;1
cos_aspect_radians;1
cross_sectional_curvature;1
dhm2015_terraen_10m;1
flooded_depth_10m_mean;1
flow_accumulation;1
geology_1;1
geology_10;1
geology_11;1
geology_2;1
geology_3;1
geology_4;1
geology_5;1
geology_6;1
geology_7;1
geology_8;1
geology_9;1
georeg_1;1
georeg_10;1
georeg_2;1
georeg_3;1
georeg_4;1
georeg_6;1
georeg_8;1
gw_summer_predict;0
gw_winter_predict;0
imk_drain_maybe;1
imk_drain_no;1
imk_drain_yes;1
imk_grass;1
imk_nonna_sum;1
landscape_1;1
landscape_10;1
landscape_11;1
landscape_12;1
landscape_2;1
landscape_3;1
landscape_4;1
landscape_5;1
landscape_6;1
landscape_7;1
landscape_8;1
landscape_9;1
longitudinal_curvature;1
lu_1;1
lu_2;1
lu_3;1
lu_4;1
lu_5;1
maximal_curvature;1
mid_slope_positon;1
minimal_curvature;1
normalized_height;1
ogc_lite_pi0000;1
ogc_lite_pi0125;1
ogc_lite_pi0250;1
ogc_lite_pi0375;1
ogc_lite_pi0500;1
ogc_lite_pi0625;1
ogc_lite_pi0750;1
ogc_lite_pi0875;1
positive_openness;1
profile_curvature;1
profile_curvature2;1
rvb_bios;1
rvb_fot;1
s1_2020_1_vh;0
s1_2020_1_vv;0
s1_2020_2_vh;0
s1_2020_2_vv;0
s1_2020_3_vh;0
s1_2020_3_vv;0
s1_2020_4_vh;0
s1_2020_4_vv;0
s1_baresoil_composite_vh_4_days;0
s1_baresoil_composite_vh_5_days;0
s1_baresoil_composite_vh_6_days;0
s1_baresoil_composite_vh_8_days;1
s1_baresoil_composite_vv_4_days;0
s1_baresoil_composite_vv_5_days;0
s1_baresoil_composite_vv_6_days;0
s1_baresoil_composite_vv_8_days;1
s2_geomedian_20180408_20180515_b11;1
s2_geomedian_20180408_20180515_b12;1
s2_geomedian_20180408_20180515_b2;1
s2_geomedian_20180408_20180515_b3;1
s2_geomedian_20180408_20180515_b4;1
s2_geomedian_20180408_20180515_b5;1
s2_geomedian_20180408_20180515_b6;1
s2_geomedian_20180408_20180515_b7;1
s2_geomedian_20180408_20180515_b8;1
s2_geomedian_20180408_20180515_b8a;1
s2_geomedian_20180501_20180731_b11;0
s2_geomedian_20180501_20180731_b12;0
s2_geomedian_20180501_20180731_b2;0
s2_geomedian_20180501_20180731_b4;0
s2_geomedian_20180501_20180731_b5;0
s2_geomedian_20180501_20180731_b6;0
s2_geomedian_20180501_20180731_b7;0
s2_geomedian_20180501_20180731_b8;0
s2_geomedian_20180501_20180731_b8a;0
s2_geomedian_20180521_20180603_b11;0
s2_geomedian_20180521_20180603_b12;0
s2_geomedian_20180521_20180603_b2;0
s2_geomedian_20180521_20180603_b3;0
s2_geomedian_20180521_20180603_b4;0
s2_geomedian_20180521_20180603_b5;0
s2_geomedian_20180521_20180603_b6;0
s2_geomedian_20180521_20180603_b7;0
s2_geomedian_20180521_20180603_b8a;0
s2_geomedian_20180601_20180630_b11;1
s2_geomedian_20180601_20180630_b12;1
s2_geomedian_20180601_20180630_b2;1
s2_geomedian_20180601_20180630_b3;1
s2_geomedian_20180601_20180630_b4;1
s2_geomedian_20180601_20180630_b5;1
s2_geomedian_20180601_20180630_b6;1
s2_geomedian_20180601_20180630_b7;1
s2_geomedian_20180601_20180630_b8;1
s2_geomedian_20180601_20180630_b8a;1
s2_geomedian_20180701_20180731_b11;1
s2_geomedian_20180701_20180731_b12;1
s2_geomedian_20180701_20180731_b2;1
s2_geomedian_20180701_20180731_b3;1
s2_geomedian_20180701_20180731_b4;1
s2_geomedian_20180701_20180731_b5;1
s2_geomedian_20180701_20180731_b6;1
s2_geomedian_20180701_20180731_b7;1
s2_geomedian_20180701_20180731_b8;1
s2_geomedian_20180701_20180731_b8a;1
s2_geomedian_20180716_20180729_b11;0
s2_geomedian_20180716_20180729_b12;0
s2_geomedian_20180716_20180729_b2;0
s2_geomedian_20180716_20180729_b3;0
s2_geomedian_20180716_20180729_b4;0
s2_geomedian_20180716_20180729_b5;0
s2_geomedian_20180716_20180729_b6;0
s2_geomedian_20180716_20180729_b7;0
s2_geomedian_20180716_20180729_b8a;0
s2_geomedian_20180801_20180831_b11;0
s2_geomedian_20180801_20180831_b12;0
s2_geomedian_20180801_20180831_b2;0
s2_geomedian_20180801_20180831_b3;0
s2_geomedian_20180801_20180831_b4;0
s2_geomedian_20180801_20180831_b5;0
s2_geomedian_20180801_20180831_b6;0
s2_geomedian_20180801_20180831_b7;0
s2_geomedian_20180801_20180831_b8;0
s2_geomedian_20180801_20180831_b8a;0
s2_geomedian_b11;1
s2_geomedian_b12;1
s2_geomedian_b2;1
s2_geomedian_b3;1
s2_geomedian_b4;1
s2_geomedian_b5;1
s2_geomedian_b6;1
s2_geomedian_b7;1
s2_geomedian_b8;1
s2_geomedian_b8a;1
saga_wetness_index;1
sin_aspect_radians;1
slope;1
slope_height;1
standardized_height;1
tangential_curvature;1
terodep10m;1
terodep110m;0
terodep150m;0
terodep210m;0
terodep30m;0
terodep50m;0
terodep70m;0
total_curvature;1
valley_depth;1
vdtochn;1
vdtochngt0;1
volume_10m_mean;1
wetlands_10m;1
wi_values_wetness;1
